bioguide_id,title,firstname,middlename,lastname,name_suffix,nickname,party,state,district,senate_class,gender,birthdate,phone,fax,website,congress_office,fec_id,govtrack_id,crp_id,twitter_id,youtube_url,facebook_id,official_rss
A000055,Rep,Robert,B.,Aderholt,,,R,AL,04,,M,1965-07-22,202-225-4876,202-225-5587,https://aderholt.house.gov,235 Cannon House Office Building,H6AL04098,400004,N00003028,Robert_Aderholt,http://youtube.com/RobertAderholt,19787529402,
A000360,Sen,Lamar,,Alexander,,,R,TN,Senior Seat,II,M,1940-07-03,202-224-4944,202-228-3398,http://www.alexander.senate.gov/public,455 Dirksen Senate Office Building,S2TN00058,300002,N00009888,SenAlexander,http://youtube.com/lamaralexander,89927603836,
A000367,Rep,Justin,,Amash,,,R,MI,03,,M,1980-04-18,202-225-3831,202-225-5144,http://amash.house.gov,114 Cannon House Office Building,H0MI03126,412438,N00031938,,http://youtube.com/repjustinamash,173604349345646,
A000368,Sen,Kelly,,Ayotte,,,R,NH,Junior Seat,III,F,1968-06-27,202-224-3324,202-224-4952,http://www.ayotte.senate.gov,144 Russell Senate Office Building,S0NH00235,412493,N00030980,KellyAyotte,http://youtube.com/SenatorAyotte,123436097729198,
A000369,Rep,Mark,E.,Amodei,,,R,NV,02,,M,1958-06-12,202-225-6155,202-225-5679,http://amodei.house.gov,332 Cannon House Office Building,H2NV02395,412500,N00031177,MarkAmodeiNV2,http://youtube.com/markamodeinv2,307227745970624,
A000370,Rep,Alma,,Adams,,,D,NC,12,,F,1946-05-27,202-225-1510,202-225-1512,http://adams.house.gov,222 Cannon House Office Building,H4NC12100,412607,N00035451,RepAdams,,CongresswomanAdams,
A000371,Rep,Pete,,Aguilar,,,D,CA,31,,M,1979-06-19,202-225-3201,202-226-6962,https://aguilar.house.gov,1223 Longworth House Office Building,H2CA31125,412615,N00033997,reppeteaguilar,,reppeteaguilar,
A000372,Rep,Rick,,Allen,,,R,GA,12,,M,1951-11-07,202-225-2823,202-225-3377,http://allen.house.gov,513 Cannon House Office Building,H2GA12121,412625,N00033720,reprickallen,,CongressmanRickAllen,
A000373,Rep,Brad,,Ashford,,,D,NE,02,,M,1949-11-10,202-225-4155,202-226-5452,https://ashford.house.gov,107 Cannon House Office Building,H4NE02054,412642,N00005293,RepBradAshford,,RepBradAshford,
A000374,Rep,Ralph,,Abraham,,,R,LA,05,,M,1954-09-16,202-225-8490,202-225-5639,https://abraham.house.gov,417 Cannon House Office Building,H4LA05221,412630,N00036633,RepAbraham,,CongressmanRalphAbraham,
